Sequence_ID,Open,High,Low,Close,Volume
0,93.87553,95.77684,94.24234,94.889145,45796500.0
0,95.63042,97.10502,95.536194,95.37622,40877584.0
0,95.856926,97.02781,95.27883,96.70513,63012810.0
0,94.727036,95.170685,92.914505,94.42476,69695730.0
0,93.04082,93.152725,91.45833,92.45109,67041544.0
0,91.66835,91.67319,90.51109,91.281334,65375428.0
0,91.05078,90.92557,90.32886,90.553986,58430104.0
0,91.02523,90.99973,90.67352,90.66076,52049756.0
0,90.63325,90.82745,90.14766,90.67125,54774308.0
0,91.00915,91.25546,90.73013,90.76963,47378190.0
0,90.7407,91.176704,90.319115,90.8978,51295972.0
0,90.061806,90.46755,89.30732,90.27973,57348984.0
0,89.62967,89.83685,89.022804,89.447334,53242610.0
0,89.0329,89.296,88.44421,89.11347,56092108.0
0,88.479004,88.66664,87.83188,88.48621,57272140.0
0,87.80122,87.95609,87.06511,87.875145,60528304.0
0,87.0084,87.112,86.09964,87.11273,65526270.0
0,86.1774,86.164185,85.17433,86.17271,68730370.0
0,85.37007,85.25307,84.37228,85.299675,70775816.0
0,84.779396,84.54023,84.00439,84.58724,67785960.0
0,84.22261,84.003006,83.459496,84.17496,69752620.0
0,83.90417,83.645195,83.3501,83.75537,65269092.0
0,83.92228,83.780266,83.69907,83.90939,59400790.0
0,84.43522,84.57518,84.51793,84.64281,52862210.0
1,102.19984,103.50308,102.31439,102.9971,42268950.0
1,109.4605,109.98687,108.64435,108.83564,30296164.0
1,114.674545,115.64335,114.13198,114.646736,29869126.0
1,122.70547,123.81956,121.79715,123.69116,26165332.0
1,139.83824,140.342,138.10178,142.22067,22508902.0
1,159.20961,158.53957,156.3267,160.56366,21455162.0
1,165.14508,165.09303,163.49733,165.24931,23295224.0
1,163.28569,164.17734,162.91054,163.09808,25663466.0
1,165.33577,165.72932,163.85675,165.03061,24899280.0
1,164.34207,165.18001,163.6106,163.96597,25881614.0
1,151.8396,154.86082,153.95064,151.74005,32876164.0
1,138.58444,140.88634,138.13867,137.66078,53789980.0
1,133.30956,133.95985,129.79498,131.37674,60702868.0
1,129.02672,129.42427,125.649506,127.11102,62802260.0
1,124.7064,125.03905,121.51825,122.88335,69166410.0
1,120.63834,120.926216,117.208855,118.79501,75357740.0
1,116.51989,116.845795,113.023964,114.75752,81629576.0
1,112.70312,113.07982,109.35912,111.12886,84377150.0
1,108.98817,109.429,105.922516,107.68674,89215220.0
1,106.47906,106.76673,103.99064,105.23629,80217690.0
1,104.70672,104.814995,103.073006,103.76673,72105860.0
1,103.87939,103.794014,102.79994,102.92773,62110364.0
1,103.90411,103.72444,103.20739,102.91867,52040970.0
1,105.83323,105.726875,105.349686,104.76397,40473870.0
2,122.674324,122.76257,122.15922,123.33977,37528464.0
2,126.453026,127.12291,125.46627,126.939026,28376264.0
2,122.03889,124.47623,122.52535,123.3644,54217188.0
2,120.17727,120.98007,117.03332,119.313065,59040180.0
2,115.81455,116.66759,112.86296,115.09075,69161250.0
2,112.127396,112.821266,109.017975,111.13423,73721896.0
2,109.7564,110.12205,107.22861,108.59197,66017604.0
2,107.266426,107.6784,105.46896,106.70392,66709570.0
2,104.55876,105.15785,102.58012,104.335335,76388770.0
